日付,摘要,収入,支出,勘定科目1,勘定科目2,入金日
2026-03-31,焼き菓子販売 訂正処理,-61,,商品販売,焼菓子販売,2026-04-03
2026-04-10,清掃 徳里住建,10500,,委託作業,清掃,
2026-04-10,利用者工賃,,665976,利用者工賃,,
2026-04-10,教会清掃代,5000,,委託作業,清掃,
2026-04-20,焼菓子販売（からはーい）,8261,,商品販売,焼菓子販売,2026-04-20
2026-04-30,焼菓子販売（本社売上分）,20760,,商品販売,焼菓子販売,
2026-04-30,焼菓子販売,226255,,商品販売,焼菓子販売,2026-05-07
2026-04-30,焼菓子販売（クレジット、QR決済）,54880,,商品販売,焼菓子販売,
2026-04-30,ドリンク販売,4950,,商品販売,ドリンク,2026-05-07
2026-04-30,手工芸,25976,,商品販売,手工芸,2026-05-07
2026-04-30,"弁当代（GHトグチ,HOME渡慶次）",346800,,弁当販売,,
2026-04-30,弁当代,1124400,,弁当販売,,
2026-04-30,山香,6644,,委託作業,シール貼り作業,2026-05-07
2026-04-30,焼き菓子販売 訂正処理,-10,,商品販売,焼菓子販売,2026-05-07
2026-05-08,清掃 徳里住建,10500,,委託作業,清掃,
2026-05-08,利用者工賃,,523588,利用者工賃,,
2026-05-08,教会清掃代,5000,,委託作業,清掃,
2026-05-20,焼菓子販売（からはーい）,6848,,商品販売,焼菓子販売,2026-05-20
2026-05-29,焼菓子販売（本社売上分）,21130,,商品販売,焼菓子販売,
2026-05-29,焼菓子販売,125645,,商品販売,焼菓子販売,2026-06-03
2026-05-29,焼菓子販売（クレジット、QR決済）,85256,,商品販売,焼菓子販売,
2026-05-29,ドリンク販売,6400,,商品販売,ドリンク,2026-06-03
2026-05-29,手工芸,8620,,商品販売,手工芸,2026-06-03
2026-05-29,"弁当代（GHトグチ,HOME渡慶次）",417600,,弁当販売,,
2026-05-29,弁当代,973800,,弁当販売,,
2026-05-29,山香,6692,,委託作業,シール貼り作業,2026-06-03
2026-05-29,焼き菓子販売 訂正処理,90,,商品販売,焼菓子販売,2026-06-03
2026-06-10,清掃 徳里住建,10500,,委託作業,清掃,
2026-06-10,利用者工賃,,522730,利用者工賃,,
2026-06-10,教会清掃代,5000,,委託作業,清掃,
2026-06-20,焼菓子販売（からはーい）,12347,,商品販売,焼菓子販売,2026-06-20
2026-06-30,焼菓子販売（本社売上分）,39590,,商品販売,焼菓子販売,
2026-06-30,焼菓子販売,82004,,商品販売,焼菓子販売,2026-07-01
